brickname,brickid,coverage_class_exact_indicator
0643m797,5350,required
0644m395,120495,required
0644m405,116076,required
0644m412,112804,required
0644m422,108497,required
0644m425,107432,required
0644m445,99062,required
0644m457,93972,required
0644m470,88994,required
0644m472,88013,required
0644m485,83175,required
0644m487,82222,required
0644m500,77524,required
0644m502,76599,required
0644m522,69374,required
0644m525,68493,required
0644m550,59958,required
0644m552,59133,required
0644m582,49636,required
0644m590,47381,required
0644m592,46640,required
0644m595,45905,required
0644m602,43730,required
0644m605,43017,required
0644m615,40217,required
0644m625,37505,required
0644m637,34240,required
0644m650,31115,required
0644m652,30508,required
0644m662,28132,required
0644m665,27553,required
0644m677,24746,required
0644m710,18128,required
0644m742,12516,required
0644m745,12127,required
0644m777,7615,required
0644m800,5095,required
0644m820,3276,required
0644m842,1706,required
0645m410,113891,required
0645m420,109568,required
0645m432,104262,required
0645m440,101128,required
0645m442,100093,required
0645m452,95994,required
0645m467,89981,required
0645m497,78455,required
0645m537,64161,required
0645m540,63310,required
0645m545,61624,required
0645m547,60789,required
0645m577,51166,required
0645m587,48128,required
0645m667,26980,required
0645m670,26413,required
0645m680,24201,required
0645m682,23662,required
0645m712,17661,required
0645m715,17200,required
0645m725,15414,required
0645m727,14981,required
0645m747,11744,required
0645m780,7310,required
0645m802,4846,required
0645m822,3077,required
0645m865,642,required
0646m400,118278,required
0646m407,114982,required
0646m417,110643,required
0646m427,106372,required
0646m430,105315,required
0646m437,102169,required
0646m450,97013,required
0646m462,91967,required
0646m465,90972,required
0646m477,86064,required
0646m492,80329,required
0646m495,79390,required
0646m510,73853,required
0646m515,72047,required
0646m517,71152,required
0646m532,65879,required
0646m535,65018,required
0646m542,62465,required
0646m567,54290,required
0646m570,53501,required
0646m572,52718,required
0646m580,50399,required
0646m672,25852,required
0646m675,25297,required
0646m685,23129,required
0646m717,16745,required
0646m720,16296,required
0646m730,14554,required
0646m750,11367,required
0646m782,7011,required
0646m825,2884,required
0646m845,1563,required
0647m395,120496,required
0647m405,116077,required
0647m415,111722,required
0647m422,108498,required
0647m435,103214,required
0647m447,98036,required
0647m460,92968,required
0647m475,87037,required
0647m490,81274,required
0647m507,74764,required
0647m527,67617,required
0647m530,66746,required
0647m555,58313,required
0647m557,57498,required
0647m562,55884,required
0647m565,55085,required
0647m627,36841,required
0647m690,22081,required
0647m692,21566,required
0647m722,15853,required
0647m732,14133,required
0647m752,10996,required
0647m755,10631,required
0647m785,6718,required
0647m805,4603,required
0648m392,121611,required
0648m402,117176,required
0648m410,113892,required
0648m412,112805,required
0648m420,109569,required
0648m432,104263,required
0648m445,99063,required
0648m452,95995,required
0648m457,93973,required
0648m470,88995,required
0648m472,88014,required
0648m485,83176,required
0648m487,82223,required
0648m500,77525,required
0648m522,69375,required
0648m550,59959,required
0648m552,59134,required
0648m560,56689,required
0648m597,45175,required
0648m600,44450,required
0648m607,42309,required
0648m610,41606,required
0648m617,39531,required
0648m620,38850,required
0648m622,38175,required
0648m630,36182,required
0648m632,35529,required
0648m640,33604,required
0648m642,32973,required
0648m655,29906,required
0648m695,21057,required
0648m757,10272,required
0648m787,6431,required
0648m807,4366,required
0648m827,2697,required
0648m847,1426,required
0648m867,555,required
0649m400,118279,required
0649m407,114983,required
0649m430,105316,required
0649m440,101129,required
0649m442,100094,required
0649m450,97014,required
0649m455,94982,required
0649m462,91968,required
0649m467,89982,required
0649m482,84135,required
0649m497,78456,required
0649m520,70262,required
0649m537,64162,required
0649m547,60790,required
0649m582,49637,required
0649m590,47382,required
0649m592,46641,required
0649m595,45906,required
0649m602,43731,required
0649m605,43018,required
0649m612,40909,required
0649m615,40218,required
0649m625,37506,required
0649m635,34882,required
0649m637,34241,required
0649m645,32348,required
0649m647,31729,required
0649m657,29309,required
0649m660,28718,required
0649m697,20554,required
0649m700,20057,required
0649m760,9919,required
0649m810,4135,required
0650m397,119386,required
0650m405,116078,required
0650m415,111723,required
0650m427,106373,required
0650m435,103215,required
0650m437,102170,required
0650m447,98037,required
0650m460,92969,required
0650m465,90973,required
0650m477,86065,required
0650m480,85098,required
0650m492,80330,required
0650m495,79391,required
0650m510,73854,required
0650m515,72048,required
0650m517,71153,required
0650m532,65880,required
0650m535,65019,required
0650m575,51940,required
0650m577,51167,required
0650m580,50400,required
0650m585,48880,required
0650m587,48129,required
0650m650,31116,required
0650m652,30509,required
0650m662,28133,required
0650m665,27554,required
0650m702,19566,required
0650m705,19081,required
0650m735,13720,required
0650m762,9572,required
0650m812,3910,required
0650m830,2516,required
0650m850,1295,required
0650m887,86,required
0651m395,120497,required
0651m402,117177,required
0651m412,112806,required
0651m420,109570,required
0651m422,108499,required
0651m425,107434,required
0651m432,104264,required
0651m445,99064,required
0651m457,93974,required
0651m470,88996,required
0651m475,87038,required
0651m485,83177,required
0651m490,81275,required
0651m507,74765,required
0651m512,72949,required
0651m527,67618,required
0651m530,66747,required
0651m555,58314,required
0651m562,55885,required
0651m565,55086,required
0651m570,53502,required
0651m572,52719,required
0651m670,26414,required
0651m677,24747,required
0651m680,24202,required
0651m707,18602,required
0651m737,13313,required
0651m765,9231,required
0651m832,2341,required
0652m400,118280,required
0652m410,113893,required
0652m417,110645,required
0652m430,105317,required
0652m440,101130,required
0652m442,100095,required
0652m452,95996,required
0652m455,94983,required
0652m467,89983,required
0652m472,88015,required
0652m487,82224,required
0652m500,77526,required
0652m502,76601,required
0652m522,69376,required
0652m525,68495,required
0652m550,59960,required
0652m557,57499,required
0652m560,56690,required
0652m672,25853,required
0652m682,23663,required
0652m710,18129,required
0652m712,17662,required
0652m740,12912,required
0652m767,8896,required
0652m870,474,required
0653m397,119387,required
0653m407,114984,required
0653m415,111724,required
0653m450,97015,required
0653m462,91969,required
0653m465,90974,required
0653m477,86066,required
0653m482,84136,required
0653m497,78457,required
0653m520,70263,required
0653m537,64163,required
0653m545,61626,required
0653m547,60791,required
0653m590,47383,required
0653m597,45176,required
0653m600,44451,required
0653m607,42310,required
0653m610,41607,required
0653m617,39532,required
0653m620,38851,required
0653m627,36842,required
0653m630,36183,required
0653m640,33605,required
0653m675,25298,required
0653m685,23130,required
0653m687,22603,required
0653m715,17201,required
0653m725,15415,required
0653m742,12517,required
0653m770,8567,required
0653m790,6152,required
0653m835,2172,required
0653m852,1170,required
0654m395,120498,required
0654m405,116079,required
0654m412,112807,required
0654m422,108500,required
0654m435,103216,required
0654m447,98038,required
0654m460,92970,required
0654m475,87039,required
0654m480,85099,required
0654m492,80331,required
0654m495,79392,required
0654m510,73855,required
0654m515,72049,required
0654m517,71154,required
0654m532,65881,required
0654m540,63312,required
0654m542,62467,required
0654m575,51941,required
0654m582,49638,required
0654m585,48881,required
0654m592,46642,required
0654m595,45907,required
0654m602,43732,required
0654m605,43019,required
0654m612,40910,required
0654m615,40219,required
0654m622,38176,required
0654m625,37507,required
0654m632,35530,required
0654m635,34883,required
0654m642,32974,required
0654m645,32349,required
0654m655,29907,required
0654m690,22082,required
0654m692,21567,required
0654m717,16746,required
0654m720,16297,required
0654m727,14982,required
0654m730,14555,required
0654m745,12128,required
0654m747,11745,required
0655m400,118281,required
0655m410,113894,required
0655m432,104265,required
0655m440,101131,required
0655m445,99065,required
0655m452,95997,required
0655m457,93975,required
0655m470,88997,required
0655m472,88016,required
0655m485,83178,required
0655m490,81276,required
0655m507,74766,required
0655m512,72950,required
0655m527,67619,required
0655m530,66748,required
0655m535,65020,required
0655m562,55886,required
0655m567,54292,required
0655m570,53503,required
0655m577,51168,required
0655m580,50401,required
0655m587,48130,required
0655m637,34242,required
0655m647,31730,required
0655m650,31117,required
0655m657,29310,required
0655m660,28719,required
0655m695,21058,required
0655m722,15854,required
0655m732,14134,required
0655m750,11368,required
0655m775,7927,required
0655m792,5879,required
0655m855,1051,required
0656m397,119388,required
0656m407,114985,required
0656m430,105318,required
0656m442,100096,required
0656m450,97016,required
0656m455,94984,required
0656m467,89984,required
0656m482,84137,required
0656m487,82225,required
0656m500,77527,required
0656m502,76602,required
0656m522,69377,required
0656m525,68496,required
0656m555,58315,required
0656m557,57500,required
0656m565,55087,required
0656m572,52720,required
0656m652,30510,required
0656m662,28134,required
0656m697,20555,required
0656m700,20058,required
0656m752,10997,required
0656m777,7616,required
0656m795,5612,required
0656m872,399,required
0657m395,120499,required
0657m405,116080,required
0657m422,108501,required
0657m427,106375,required
0657m435,103217,required
0657m447,98039,required
0657m460,92971,required
0657m462,91970,required
0657m477,86067,required
0657m480,85100,required
0657m492,80332,required
0657m497,78458,required
0657m520,70264,required
0657m550,59961,required
0657m552,59136,required
0657m560,56691,required
0657m665,27555,required
0657m667,26982,required
0657m677,24748,required
0657m702,19567,required
0657m755,10632,required
0657m780,7311,required
0657m797,5351,required
0658m402,117179,required
0658m410,113895,required
0658m412,112808,required
0658m420,109572,required
0658m425,107436,required
0658m432,104266,required
0658m445,99066,required
0658m457,93976,required
0658m475,87040,required
0658m490,81277,required
0658m495,79393,required
0658m510,73856,required
0658m515,72050,required
0658m517,71155,required
0658m532,65882,required
0658m537,64164,required
0658m540,63313,required
0658m547,60792,required
0658m590,47384,required
0658m597,45177,required
0658m600,44452,required
0658m607,42311,required
0658m610,41608,required
0658m617,39533,required
0658m627,36843,required
0658m670,26415,required
0658m672,25854,required
0658m680,24203,required
0658m705,19082,required
0658m707,18603,required
0658m782,7012,required
0658m815,3693,required
0659m400,118282,required
0659m407,114986,required
0659m417,110647,required
0659m430,105319,required
0659m440,101132,required
0659m442,100097,required
0659m452,95998,required
0659m455,94985,required
0659m470,88998,required
0659m472,88017,required
0659m485,83179,required
0659m487,82226,required
0659m505,75682,required
0659m507,74767,required
0659m512,72951,required
0659m527,67620,required
0659m535,65021,required
0659m542,62468,required
0659m567,54293,required
0659m575,51942,required
0659m577,51169,required
0659m582,49639,required
0659m592,46643,required
0659m595,45908,required
0659m602,43733,required
0659m605,43020,required
0659m620,38852,required
0659m622,38177,required
0659m630,36184,required
0659m632,35531,required
0659m640,33606,required
0659m675,25299,required
0659m682,23664,required
0659m685,23131,required
0659m710,18130,required
0659m735,13721,required
0659m760,9920,required
0659m785,6719,required
0659m800,5096,required
0660m395,120500,required
0660m405,116081,required
0660m415,111726,required
0660m427,106376,required
0660m437,102173,required
0660m462,91971,required
0660m465,90976,required
0660m467,89985,required
0660m482,84138,required
0660m500,77528,required
0660m502,76603,required
0660m522,69378,required
0660m525,68497,required
0660m530,66749,required
0660m555,58316,required
0660m562,55887,required
0660m565,55088,required
0660m570,53504,required
0660m572,52721,required
0660m580,50402,required
0660m587,48131,required
0660m615,40220,required
0660m625,37508,required
0660m635,34884,required
0660m637,34243,required
0660m642,32975,required
0660m645,32350,required
0660m655,29908,required
0660m687,22604,required
0660m712,17663,required
0660m737,13314,required
0660m762,9573,required
0660m787,6432,required
0660m802,4847,required
0660m817,3482,required
0660m890,55,required
0661m422,108502,required
0661m425,107437,required
0661m435,103218,required
0661m460,92972,required
0661m477,86068,required
0661m480,85101,required
0661m492,80333,required
0661m497,78459,required
0661m520,70265,required
0661m550,59962,required
0661m552,59137,required
0661m557,57501,required
0661m560,56692,required
0661m647,31731,required
0661m650,31118,required
0661m657,29311,required
0661m690,22083,required
0661m692,21568,required
0661m715,17202,required
0661m725,15416,required
0661m740,12913,required
0661m765,9232,required
0661m805,4604,required
0661m820,3277,required
0662m400,118283,required
0662m410,113896,required
0662m417,110648,required
0662m432,104267,required
0662m440,101133,required
0662m445,99067,required
0662m457,93977,required
0662m470,88999,required
0662m475,87041,required
0662m490,81278,required
0662m495,79394,required
0662m510,73857,required
0662m515,72051,required
0662m537,64165,required
0662m545,61628,required
0662m547,60793,required
0662m652,30511,required
0662m660,28720,required
0662m695,21059,required
0662m717,16747,required
0662m720,16298,required
0662m727,14983,required
0662m742,12518,required
0663m397,119390,required
0663m405,116082,required
0663m407,114987,required
0663m415,111727,required
0663m427,106377,required
0663m430,105320,required
0663m437,102174,required
0663m442,100098,required
0663m452,95999,required
0663m455,94986,required
0663m467,89986,required
0663m472,88018,required
0663m485,83180,required
0663m487,82227,required
0663m500,77529,required
0663m505,75683,required
0663m507,74768,required
0663m527,67621,required
0663m532,65883,required
0663m535,65022,required
0663m542,62469,required
0663m582,49640,required
0663m590,47385,required
0663m597,45178,required
0663m600,44453,required
0663m607,42312,required
0663m665,27556,required
0663m667,26983,required
0663m722,15855,required
0663m730,14556,required
0663m745,12129,required
0663m807,4367,required
0663m822,3078,required
0663m837,2011,required
0664m395,120501,required
0664m402,117181,required
0664m412,112810,required
0664m422,108503,required
0664m425,107438,required
0664m435,103219,required
0664m447,98041,required
0664m462,91972,required
0664m465,90977,required
0664m477,86069,required
0664m482,84139,required
0664m497,78460,required
0664m502,76604,required
0664m522,69379,required
0664m525,68498,required
0664m530,66750,required
0664m562,55888,required
0664m567,54294,required
0664m570,53505,required
0664m575,51943,required
0664m587,48132,required
0664m592,46644,required
0664m595,45909,required
0664m602,43734,required
0664m605,43021,required
0664m610,41609,required
0664m620,38853,required
0664m622,38178,required
0664m627,36844,required
0664m630,36185,required
0664m670,26416,required
0664m677,24749,required
0664m700,20059,required
0664m702,19568,required
0664m732,14135,required
0664m747,11746,required
0665m400,118284,required
0665m420,109574,required
0665m432,104268,required
0665m445,99068,required
0665m460,92973,required
0665m475,87042,required
0665m480,85102,required
0665m492,80334,required
0665m495,79395,required
0665m520,70266,required
0665m550,59963,required
0665m555,58317,required
0665m557,57502,required
0665m565,55089,required
0665m572,52722,required
0665m580,50403,required
0665m615,40221,required
0665m625,37509,required
0665m632,35532,required
0665m635,34885,required
0665m640,33607,required
0665m642,32976,required
0665m672,25855,required
0665m680,24204,required
0665m682,23665,required
0665m705,19083,required
0665m750,11369,required
0665m772,8245,required
0665m810,4136,required
0665m825,2885,required
0666m397,119391,required
0666m407,114988,required
0666m417,110649,required
0666m430,105321,required
0666m440,101134,required
0666m442,100099,required
0666m455,94987,required
0666m457,93978,required
0666m472,88019,required
0666m490,81279,required
0666m510,73858,required
0666m515,72052,required
0666m537,64166,required
0666m545,61629,required
0666m547,60794,required
0666m552,59138,required
0666m637,34244,required
0666m645,32351,required
0666m647,31732,required
0666m655,29909,required
0666m675,25300,required
0666m685,23132,required
0666m707,18604,required
0666m752,10998,required
0666m775,7928,required
0666m790,6153,required
0666m812,3911,required
0666m840,1856,required
0667m395,120502,required
0667m405,116083,required
0667m412,112811,required
0667m427,106378,required
0667m437,102175,required
0667m462,91973,required
0667m467,89987,required
0667m482,84140,required
0667m485,83181,required
0667m487,82228,required
0667m500,77530,required
0667m505,75684,required
0667m507,74769,required
0667m512,72953,required
0667m527,67622,required
0667m532,65884,required
0667m535,65023,required
0667m540,63315,required
0667m542,62470,required
0667m657,29312,required
0667m687,22605,required
0667m710,18131,required
0667m755,10633,required
0667m777,7617,required
0667m827,2698,required
0668m392,121617,required
0668m400,118285,required
0668m410,113898,required
0668m425,107439,required
0668m435,103220,required
0668m447,98042,required
0668m460,92974,required
0668m465,90978,required
0668m477,86070,required
0668m480,85103,required
0668m497,78461,required
0668m502,76605,required
0668m525,68499,required
0668m530,66751,required
0668m567,54295,required
0668m575,51944,required
0668m582,49641,required
0668m590,47386,required
0668m592,46645,required
0668m597,45179,required
0668m600,44454,required
0668m607,42313,required
0668m652,30512,required
0668m660,28721,required
0668m662,28136,required
0668m690,22084,required
0668m692,21569,required
0668m712,17664,required
0668m735,13722,required
0668m757,10274,required
0668m792,5880,required
0668m842,1707,required
0669m397,119392,required
0669m407,114989,required
0669m417,110650,required
0669m430,105322,required
0669m440,101135,required
0669m445,99069,required
0669m470,89001,required
0669m475,87043,required
0669m492,80335,required
0669m495,79396,required
0669m520,70267,required
0669m555,58318,required
0669m562,55889,required
0669m565,55090,required
0669m570,53506,required
0669m572,52723,required
0669m580,50404,required
0669m585,48884,required
0669m587,48133,required
0669m595,45910,required
0669m602,43735,required
0669m605,43022,required
0669m610,41610,required
0669m612,40913,required
0669m617,39535,required
0669m620,38854,required
0669m627,36845,required
0669m665,27557,required
0669m715,17203,required
0669m737,13315,required
0669m780,7312,required
0669m795,5613,required
0670m395,120503,required
0670m405,116084,required
0670m415,111729,required
0670m427,106379,required
0670m437,102176,required
0670m442,100100,required
0670m452,96001,required
0670m455,94988,required
0670m467,89988,required
0670m472,88020,required
0670m485,83182,required
0670m490,81280,required
0670m510,73859,required
0670m515,72053,required
0670m517,71158,required
0670m537,64167,required
0670m545,61630,required
0670m552,59139,required
0670m557,57503,required
0670m560,56694,required
0670m615,40222,required
0670m622,38179,required
0670m630,36186,required
0670m632,35533,required
0670m640,33608,required
0670m667,26984,required
0670m717,16748,required
0670m720,16299,required
0670m727,14984,required
0670m740,12914,required
0670m782,7013,required
0670m830,2517,required
0670m857,940,required
0671m392,121618,required
0671m412,112812,required
0671m422,108505,required
0671m425,107440,required
0671m435,103221,required
0671m447,98043,required
0671m450,97020,required
0671m462,91974,required
0671m465,90979,required
0671m482,84141,required
0671m487,82229,required
0671m500,77531,required
0671m505,75685,required
0671m507,74770,required
0671m512,72954,required
0671m527,67623,required
0671m532,65885,required
0671m535,65024,required
0671m540,63316,required
0671m542,62471,required
0671m547,60795,required
0671m635,34886,required
0671m642,32977,required
0671m670,26417,required
0671m672,25856,required
0671m680,24205,required
0671m722,15856,required
0671m730,14557,required
0671m742,12519,required
0671m762,9574,required
0671m785,6720,required
0671m797,5352,required
0671m845,1564,required
0672m397,119393,required
0672m400,118286,required
0672m407,114990,required
0672m410,113899,required
0672m417,110651,required
0672m432,104270,required
0672m445,99070,required
0672m460,92975,required
0672m477,86071,required
0672m480,85104,required
0672m497,78462,required
0672m502,76606,required
0672m522,69381,required
0672m525,68500,required
0672m530,66752,required
0672m637,34245,required
0672m645,32352,required
0672m647,31733,required
0672m655,29910,required
0672m675,25301,required
0672m682,23666,required
0672m732,14136,required
0672m745,12130,required
0672m765,9233,required
0672m832,2342,required
0673m395,120504,required
0673m415,111730,required
0673m430,105323,required
0673m440,101136,required
0673m442,100101,required
0673m452,96002,required
0673m457,93980,required
0673m470,89002,required
0673m475,87044,required
0673m492,80336,required
0673m495,79397,required
0673m520,70268,required
0673m562,55890,required
0673m567,54296,required
0673m570,53507,required
0673m575,51945,required
0673m577,51172,required
0673m582,49642,required
0673m585,48885,required
0673m590,47387,required
0673m592,46646,required
0673m597,45180,required
0673m600,44455,required
0673m607,42314,required
0673m650,31120,required
0673m657,29313,required
0673m747,11747,required
0673m767,8898,required
0673m787,6433,required
0673m800,5097,required
0674m392,121619,required
0674m402,117184,required
0674m422,108506,required
0674m437,102177,required
0674m455,94989,required
0674m467,89989,required
0674m472,88021,required
0674m485,83183,required
0674m490,81281,required
0674m510,73860,required
0674m515,72054,required
0674m517,71159,required
0674m550,59965,required
0674m557,57504,required
0674m572,52724,required
0674m580,50405,required
0674m587,48134,required
0674m595,45911,required
0674m602,43736,required
0674m610,41611,required
0674m617,39536,required
0674m652,30513,required
0674m660,28722,required
0675m410,113900,required
0675m425,107441,required
0675m432,104271,required
0675m435,103222,required
0675m460,92976,required
0675m462,91975,required
0675m465,90980,required
0675m482,84142,required
0675m487,82230,required
0675m500,77532,required
0675m502,76607,required
0675m505,75686,required
0675m507,74771,required
0675m512,72955,required
0675m532,65886,required
0675m537,64168,required
0675m540,63317,required
0675m545,61631,required
0675m547,60796,required
0675m552,59140,required
0675m560,56695,required
0675m605,43023,required
0675m612,40914,required
0675m615,40223,required
0675m627,36846,required
0675m630,36187,required
0675m662,28137,required
0675m665,27558,required
0675m750,11370,required
0675m770,8569,required
0675m802,4848,required
0675m815,3694,required
0675m835,2173,required
0675m860,835,required
0676m397,119394,required
0676m407,114991,required
0676m417,110652,required
0676m430,105324,required
0676m457,93981,required
0676m475,87045,required
0676m480,85105,required
0676m492,80337,required
0676m497,78463,required
0676m522,69382,required
0676m527,67624,required
0676m530,66753,required
0676m535,65025,required
0676m542,62472,required
0676m625,37511,required
0676m632,35534,required
0676m640,33609,required
0676m667,26985,required
0676m752,10999,required
0676m772,8246,required
0676m805,4605,required
0677m395,120505,required
0677m402,117185,required
0677m405,116086,required
0677m412,112814,required
0677m415,111731,required
0677m422,108507,required
0677m452,96003,required
0677m455,94990,required
0677m470,89003,required
0677m472,88022,required
0677m490,81282,required
0677m495,79398,required
0677m520,70269,required
0677m525,68501,required
0677m567,54297,required
0677m575,51946,required
0677m582,49643,required
0677m635,34887,required
0677m637,34246,required
0677m642,32978,required
0677m645,32353,required
0677m670,26418,required
0677m735,13723,required
0677m755,10634,required
0677m775,7929,required
0677m817,3483,required
0678m400,118288,required
0678m420,109578,required
0678m425,107442,required
0678m435,103223,required
0678m447,98045,required
0678m450,97022,required
0678m462,91976,required
0678m467,89990,required
0678m485,83184,required
0678m487,82231,required
0678m505,75687,required
0678m510,73861,required
0678m512,72956,required
0678m515,72055,required
0678m517,71160,required
0678m550,59966,required
0678m555,58320,required
0678m562,55891,required
0678m565,55092,required
0678m570,53508,required
0678m577,51173,required
0678m585,48886,required
0678m590,47388,required
0678m592,46647,required
0678m597,45181,required
0678m600,44456,required
0678m607,42315,required
0678m647,31734,required
0678m655,29911,required
0678m672,25857,required
0678m725,15418,required
0678m737,13316,required
0678m757,10275,required
0678m807,4368,required
0678m850,1296,required
0679m407,114992,required
0679m432,104272,required
0679m445,99072,required
0679m460,92977,required
0679m465,90981,required
0679m477,86073,required
0679m482,84143,required
0679m500,77533,required
0679m502,76608,required
0679m507,74772,required
0679m532,65887,required
0679m537,64169,required
0679m540,63318,required
0679m545,61632,required
0679m547,60797,required
0679m552,59141,required
0679m560,56696,required
0679m572,52725,required
0679m580,50406,required
0679m587,48135,required
0679m595,45912,required
0679m602,43737,required
0679m610,41612,required
0679m650,31121,required
0679m657,29314,required
0679m727,14985,required
0679m740,12915,required
0679m777,7618,required
0679m790,6154,required
0679m820,3278,required
0679m862,736,required
0680m395,120506,required
0680m405,116087,required
0680m415,111732,required
0680m427,106382,required
0680m430,105325,required
0680m442,100103,required
0680m452,96004,required
0680m457,93982,required
0680m470,89004,required
0680m475,87046,required
0680m480,85106,required
0680m492,80338,required
0680m497,78464,required
0680m522,69383,required
0680m527,67625,required
0680m530,66754,required
0680m535,65026,required
0680m542,62473,required
0680m605,43024,required
0680m612,40915,required
0680m615,40224,required
0680m652,30514,required
0680m660,28723,required
0680m730,14558,required
0680m742,12520,required
0680m760,9922,required
0680m810,4137,required
0681m400,118289,required
0681m402,117186,required
0681m412,112815,required
0681m422,108508,required
0681m425,107443,required
0681m435,103224,required
0681m437,102179,required
0681m450,97023,required
0681m455,94991,required
0681m467,89991,required
0681m472,88023,required
0681m490,81283,required
0681m495,79399,required
0681m520,70270,required
0681m525,68502,required
0681m662,28138,required
0681m732,14137,required
0681m745,12131,required
0681m762,9575,required
0681m792,5881,required
0681m822,3079,required
0681m875,332,required
0682m397,119396,required
0682m407,114993,required
0682m410,113902,required
0682m420,109579,required
0682m432,104273,required
0682m447,98046,required
0682m462,91977,required
0682m465,90982,required
0682m482,84144,required
0682m485,83185,required
0682m487,82232,required
0682m505,75688,required
0682m510,73862,required
0682m512,72957,required
0682m515,72056,required
0682m517,71161,required
0682m555,58321,required
0682m562,55892,required
0682m570,53509,required
0682m575,51947,required
0682m582,49644,required
0682m590,47389,required
0682m635,34888,required
0682m640,33610,required
0682m642,32979,required
0682m665,27559,required
0682m667,26986,required
0682m852,1171,required
0683m395,120507,required
0683m405,116088,required
0683m415,111733,required
0683m430,105326,required
0683m440,101139,required
0683m445,99073,required
0683m457,93983,required
0683m460,92978,required
0683m477,86074,required
0683m480,85107,required
0683m500,77534,required
0683m502,76609,required
0683m507,74773,required
0683m532,65888,required
0683m537,64170,required
0683m545,61633,required
0683m552,59142,required
0683m557,57506,required
0683m565,55093,required
0683m572,52726,required
0683m577,51174,required
0683m580,50407,required
0683m585,48887,required
0683m592,46648,required
0683m597,45182,required
0683m600,44457,required
0683m607,42316,required
0683m637,34247,required
0683m645,32354,required
0683m747,11748,required
0683m795,5614,required
0683m812,3912,required
0684m402,117187,required
0684m412,112816,required
0684m427,106383,required
0684m437,102180,required
0684m442,100104,required
0684m452,96005,required
0684m455,94992,required
0684m470,89005,required
0684m475,87047,required
0684m492,80339,required
0684m497,78465,required
0684m522,69384,required
0684m527,67626,required
0684m530,66755,required
0684m535,65027,required
0684m540,63319,required
0684m542,62474,required
0684m547,60798,required
0684m587,48136,required
0684m595,45913,required
0684m602,43738,required
0684m610,41613,required
0684m647,31735,required
0684m655,29912,required
0684m750,11371,required
0684m767,8899,required
0684m785,6721,required
0684m825,2886,required
0684m865,643,required
0685m397,119397,required
0685m400,118290,required
0685m410,113903,required
0685m420,109580,required
0685m425,107444,required
0685m447,98047,required
0685m462,91978,required
0685m467,89992,required
0685m472,88024,required
0685m490,81284,required
0685m495,79400,required
0685m520,70271,required
0685m525,68503,required
0685m605,43025,required
0685m612,40916,required
0685m650,31122,required
0685m657,29315,required
0685m735,13724,required
0685m752,11000,required
0685m770,8570,required
0685m797,5353,required
0686m395,120508,required
0686m405,116089,required
0686m407,114994,required
0686m417,110655,required
0686m430,105327,required
0686m432,104274,required
0686m445,99074,required
0686m460,92979,required
0686m465,90983,required
0686m482,84145,required
0686m487,82233,required
0686m505,75689,required
0686m510,73863,required
0686m512,72958,required
0686m515,72057,required
0686m517,71162,required
0686m567,54299,required
0686m652,30515,required
0686m660,28724,required
0686m787,6434,required
0686m837,2012,required
0687m402,117188,required
0687m412,112817,required
0687m415,111734,required
0687m427,106384,required
0687m437,102181,required
0687m440,101140,required
0687m442,100105,required
0687m452,96006,required
0687m457,93984,required
0687m475,87048,required
0687m477,86075,required
0687m480,85108,required
0687m500,77535,required
0687m502,76610,required
0687m507,74774,required
0687m532,65889,required
0687m537,64171,required
0687m545,61634,required
0687m550,59968,required
0687m555,58322,required
0687m557,57507,required
0687m562,55893,required
0687m570,53510,required
0687m575,51948,required
0687m577,51175,required
0687m582,49645,required
0687m590,47390,required
0687m597,45183,required
0687m632,35536,required
0687m640,33611,required
0687m662,28139,required
0687m737,13317,required
0687m755,10635,required
0687m772,8247,required
0687m800,5098,required
0687m827,2699,required
0688m400,118291,required
0688m410,113904,required
0688m420,109581,required
0688m422,108510,required
0688m425,107445,required
0688m435,103226,required
0688m450,97025,required
0688m455,94993,required
0688m472,88025,required
0688m492,80340,required
0688m495,79401,required
0688m497,78466,required
0688m522,69385,required
0688m527,67627,required
0688m530,66756,required
0688m535,65028,required
0688m540,63320,required
0688m542,62475,required
0688m547,60799,required
0688m552,59143,required
0688m560,56698,required
0688m580,50408,required
0688m585,48888,required
0688m587,48137,required
0688m592,46649,required
0688m600,44458,required
0688m607,42317,required
0688m635,34889,required
0688m642,32980,required
0688m740,12916,required
0688m757,10276,required
0689m395,120509,required
0689m397,119398,required
0689m407,114995,required
0689m417,110656,required
0689m432,104275,required
0689m447,98048,required
0689m462,91979,required
0689m465,90984,required
0689m467,89993,required
0689m485,83187,required
0689m490,81285,required
0689m520,70272,required
0689m525,68504,required
0689m595,45914,required
0689m602,43739,required
0689m610,41614,required
0689m637,34248,required
0689m645,32355,required
0689m742,12521,required
0689m802,4849,required
0689m840,1857,required
0690m402,117189,required
0690m405,116090,required
0690m415,111735,required
0690m430,105328,required
0690m440,101141,required
0690m445,99075,required
0690m460,92980,required
0690m477,86076,required
0690m487,82234,required
0690m505,75690,required
0690m510,73864,required
0690m512,72959,required
0690m515,72058,required
0690m517,71163,required
0690m605,43026,required
0690m612,40917,required
0690m647,31736,required
0690m655,29913,required
0690m760,9923,required
0690m777,7619,required
0690m830,2518,required
0690m867,556,required
0690m877,271,required
0691m400,118292,required
0691m410,113905,required
0691m412,112818,required
0691m422,108511,required
0691m425,107446,required
0691m427,106385,required
0691m437,102182,required
0691m442,100106,required
