brickname,brickid,coverage_class_exact_indicator
0010m520,70104,required
0010m522,69218,required
0010m525,68338,required
0010m527,67462,required
0010m530,66592,required
0010m532,65726,required
0010m535,64866,required
0010m537,64010,required
0010m540,63160,required
0010m542,62316,required
0010m545,61476,required
0010m547,60642,required
0010m550,59812,required
0010m552,58988,required
0010m555,58168,required
0010m682,23567,required
0010m685,23035,required
0010m687,22509,required
0010m690,21989,required
0010m692,21475,required
0010m695,20967,required
0010m697,20465,required
0010m700,19969,required
0010m830,2484,required
0010m832,2310,required
0010m835,2142,required
0011m395,120299,required
0011m397,119189,required
0011m400,118083,required
0011m402,116981,required
0011m405,115883,required
0011m407,114789,required
0011m410,113699,required
0011m412,112613,required
0011m415,111531,required
0011m417,110453,required
0011m420,109379,required
0011m422,108309,required
0011m425,107245,required
0011m427,106185,required
0011m430,105129,required
0011m432,104077,required
0011m557,57354,required
0011m560,56546,required
0011m562,55742,required
0011m565,54944,required
0011m567,54150,required
0011m570,53362,required
0011m572,52580,required
0011m575,51802,required
0011m580,50264,required
0011m582,49502,required
0011m585,48746,required
0011m702,19479,required
0011m705,18995,required
0011m707,18517,required
0011m710,18045,required
0011m712,17579,required
0011m715,17119,required
0011m717,16665,required
0011m837,1982,required
0011m840,1828,required
0012m435,103029,required
0012m437,101985,required
0012m440,100945,required
0012m442,99911,required
0012m445,98881,required
0012m447,97855,required
0012m450,96833,required
0012m452,95815,required
0012m455,94803,required
0012m457,93795,required
0012m460,92791,required
0012m462,91791,required
0012m465,90797,required
0012m470,88821,required
0012m472,87841,required
0012m475,86865,required
0012m477,85893,required
0012m590,47250,required
0012m592,46510,required
0012m595,45776,required
0012m597,45046,required
0012m600,44322,required
0012m602,43604,required
0012m607,42184,required
0012m610,41482,required
0012m612,40786,required
0012m720,16217,required
0012m722,15775,required
0012m725,15337,required
0012m727,14905,required
0012m730,14479,required
0012m732,14059,required
0012m842,1680,required
0012m845,1538,required
0013m480,84927,required
0013m482,83965,required
0013m485,83007,required
0013m487,82055,required
0013m490,81107,required
0013m492,80163,required
0013m495,79225,required
0013m497,78291,required
0013m500,77361,required
0013m502,76437,required
0013m505,75517,required
0013m507,74603,required
0013m510,73693,required
0013m512,72789,required
0013m615,40096,required
0013m617,39410,required
0013m622,38056,required
0013m627,36724,required
0013m630,36066,required
0013m632,35414,required
0013m635,34768,required
0013m735,13647,required
0013m737,13241,required
0013m740,12841,required
0013m742,12447,required
0013m745,12059,required
0013m847,1402,required
0014m392,121414,required
0014m395,120300,required
0014m397,119190,required
0014m400,118084,required
0014m402,116982,required
0014m405,115884,required
0014m407,114790,required
0014m410,113700,required
0014m412,112614,required
0014m415,111532,required
0014m515,71889,required
0014m517,70995,required
0014m520,70105,required
0014m522,69219,required
0014m525,68339,required
0014m527,67463,required
0014m530,66593,required
0014m532,65727,required
0014m535,64867,required
0014m537,64011,required
0014m540,63161,required
0014m542,62317,required
0014m637,34128,required
0014m640,33492,required
0014m642,32862,required
0014m645,32238,required
0014m647,31620,required
0014m650,31008,required
0014m652,30402,required
0014m747,11677,required
0014m750,11301,required
0014m752,10931,required
0014m755,10567,required
0015m417,110454,required
0015m420,109380,required
0015m422,108310,required
0015m425,107246,required
0015m427,106186,required
0015m430,105130,required
0015m432,104078,required
0015m435,103030,required
0015m437,101986,required
0015m440,100946,required
0015m442,99912,required
0015m445,98882,required
0015m447,97856,required
0015m450,96834,required
0015m452,95816,required
0015m545,61477,required
0015m547,60643,required
0015m550,59813,required
0015m552,58989,required
0015m555,58169,required
0015m557,57355,required
0015m560,56547,required
0015m562,55743,required
0015m565,54945,required
0015m567,54151,required
0015m570,53363,required
0015m660,28614,required
0015m662,28030,required
0015m665,27452,required
0015m667,26880,required
0015m670,26314,required
0015m757,10209,required
0015m760,9857,required
0015m765,9171,required
0015m855,1030,required
0016m455,94804,required
0016m457,93796,required
0016m460,92792,required
0016m462,91792,required
0016m467,89808,required
0016m470,88822,required
0016m472,87842,required
0016m475,86866,required
0016m477,85894,required
0016m480,84928,required
0016m482,83966,required
0016m572,52581,required
0016m575,51803,required
0016m577,51031,required
0016m580,50265,required
0016m582,49503,required
0016m585,48747,required
0016m587,47997,required
0016m590,47251,required
0016m672,25754,required
0016m675,25200,required
