-0.1989  	-0.0530  	-0.6335  	-0.3497  	-0.0710  	-0.3539  	0.00076  	0.00854  	0.09742  	0.01866  	-0.3130  	-0.4361  	0.20720  	0.10059  	0.08689  	0.78939  	-0.0586  	-0.0779  	0.31888  	0.48902  	0.28176  	0.38693  	-0.4221  	0.42293  	0.74795  	-0.2254  	0.25229  	-0.0725  	0.05758  	0.23057  	-0.1529  	0.22181  	0.10552  	-0.0508  	0.59896  	-0.0321  	0.28333  	-0.1611  	-0.2306  	0.39417  	-0.2050  	0.05158  	-0.2316  	0.17861  	0.15240  	-0.0325  	0.03127  	-0.1276  	-0.0401  	-0.0533  	-0.0432  	-0.0159  	-0.0272  	-0.0088  	-0.0216  	-0.0101  	0.00409  	-0.0037  	-0.0031  	0.00546  	0.00149  	0.00651  	0.02209  	0.01090  	0.08411  	0.01040  	0.00532  	0.01241  	0.03785  	-0.7581  	
-0.1988  	-0.0529  	-0.6342  	-0.3500  	-0.0723  	-0.3545  	0.00108  	0.00829  	0.09712  	0.01707  	-0.3127  	-0.4358  	0.20774  	0.10222  	0.08827  	0.78940  	-0.0590  	-0.0772  	0.31884  	0.48757  	0.28311  	0.38862  	-0.4213  	0.42432  	0.74895  	-0.2254  	0.25384  	-0.0746  	0.05715  	0.23099  	-0.1520  	0.22144  	0.10527  	-0.0509  	0.60000  	-0.0324  	0.28422  	-0.1617  	-0.2314  	0.39401  	-0.2054  	0.05182  	-0.2316  	0.17824  	0.15238  	-0.0327  	0.03144  	-0.1275  	-0.0401  	-0.0532  	-0.0434  	-0.0160  	-0.0273  	-0.0089  	-0.0217  	-0.0099  	0.00392  	-0.0036  	-0.0034  	0.00537  	0.00152  	0.00671  	0.02226  	0.01101  	0.08411  	0.01040  	0.00532  	0.01241  	0.03785  	-0.7581  	
-0.1983  	-0.0533  	-0.6316  	-0.3500  	-0.0743  	-0.3529  	0.00217  	0.00974  	0.09711  	0.01740  	-0.3108  	-0.4379  	0.20739  	0.10204  	0.08724  	0.79044  	-0.0590  	-0.0768  	0.31930  	0.48867  	0.28518  	0.38901  	-0.4215  	0.42440  	0.75070  	-0.2257  	0.25431  	-0.0732  	0.05752  	0.23041  	-0.1532  	0.22176  	0.10475  	-0.0513  	0.59896  	-0.0313  	0.28456  	-0.1619  	-0.2311  	0.39513  	-0.2064  	0.05180  	-0.2318  	0.17861  	0.15265  	-0.0328  	0.03141  	-0.1274  	-0.0399  	-0.0528  	-0.0428  	-0.0161  	-0.0272  	-0.0090  	-0.0215  	-0.0098  	0.00396  	-0.0037  	-0.0033  	0.00561  	0.00143  	0.00669  	0.02253  	0.01082  	0.08411  	0.01040  	0.00532  	0.01241  	0.03785  	-0.7581  	
-0.2026  	-0.0568  	-0.6336  	-0.3509  	-0.0699  	-0.3575  	0.00116  	0.00621  	0.09600  	0.02192  	-0.3076  	-0.4367  	0.20436  	0.09824  	0.08292  	0.78803  	-0.0576  	-0.0758  	0.31717  	0.49072  	0.27682  	0.38486  	-0.4242  	0.42093  	0.74709  	-0.2253  	0.24967  	-0.0681  	0.05957  	0.23074  	-0.1534  	0.22256  	0.10457  	-0.0516  	0.59915  	-0.0315  	0.28186  	-0.1620  	-0.2311  	0.39444  	-0.2042  	0.05088  	-0.2313  	0.17765  	0.15215  	-0.0330  	0.03136  	-0.1276  	-0.0399  	-0.0533  	-0.0427  	-0.0156  	-0.0276  	-0.0091  	-0.0214  	-0.0102  	0.00462  	-0.0041  	-0.0030  	0.00517  	0.00121  	0.00626  	0.02195  	0.01091  	0.08411  	0.01040  	0.00532  	0.01241  	0.03785  	-0.7581  	
-0.1853  	-0.0501  	-0.6300  	-0.3284  	-0.0427  	-0.3466  	0.01224  	0.00010  	0.08327  	0.02296  	-0.3488  	-0.4497  	0.22005  	0.11742  	0.08659  	0.78810  	-0.0628  	-0.0698  	0.31785  	0.49716  	0.24749  	0.39228  	-0.4406  	0.42463  	0.77208  	-0.2255  	0.25771  	-0.0556  	0.09800  	0.23857  	-0.1568  	0.21395  	0.10130  	-0.0533  	0.59782  	-0.0165  	0.25154  	-0.1795  	-0.2176  	0.40739  	-0.2150  	0.05223  	-0.2338  	0.17812  	0.15188  	-0.0335  	0.03059  	-0.1231  	-0.0355  	-0.0527  	-0.0363  	-0.0170  	-0.0277  	-0.0124  	-0.0209  	-0.0101  	0.00518  	-0.0042  	-0.0029  	0.00419  	-0.0006  	0.00833  	0.02563  	0.00938  	0.08411  	0.01040  	0.00532  	0.01241  	0.03785  	-0.7581  	
-0.1855  	-0.0676  	-0.6371  	-0.3063  	-0.0349  	-0.3310  	0.01785  	0.00123  	0.07962  	0.01708  	-0.3550  	-0.4525  	0.22333  	0.11919  	0.09589  	0.78090  	-0.0603  	-0.0609  	0.31350  	0.50921  	0.22573  	0.39171  	-0.4637  	0.40438  	0.78177  	-0.2232  	0.22895  	-0.0287  	0.13230  	0.24700  	-0.1595  	0.21395  	0.10198  	-0.0521  	0.58206  	-0.0037  	0.23044  	-0.1872  	-0.2070  	0.41131  	-0.2019  	0.04981  	-0.2340  	0.17686  	0.15469  	-0.0326  	0.03048  	-0.1195  	-0.0314  	-0.0559  	-0.0357  	-0.0168  	-0.0260  	-0.0128  	-0.0206  	-0.0091  	0.00312  	-0.0052  	-0.0012  	0.00665  	-0.0005  	0.00526  	0.02477  	0.00953  	0.08411  	0.01040  	0.00532  	0.01241  	0.03785  	-0.7581  	
-0.1620  	-0.0829  	-0.6217  	-0.2589  	0.00440  	-0.3219  	0.03505  	-0.0050  	0.07764  	0.04005  	-0.4174  	-0.4686  	0.23566  	0.12592  	0.07821  	0.76666  	-0.0763  	-0.0468  	0.30201  	0.52936  	0.18741  	0.39111  	-0.4918  	0.36439  	0.80084  	-0.2248  	0.22817  	0.00637  	0.18109  	0.26119  	-0.1643  	0.21348  	0.10517  	-0.0460  	0.55464  	0.01211  	0.20093  	-0.2022  	-0.1877  	0.42826  	-0.2049  	0.05491  	-0.2260  	0.18500  	0.16030  	-0.0332  	0.02844  	-0.1116  	-0.0277  	-0.0614  	-0.0358  	-0.0163  	-0.0263  	-0.0150  	-0.0174  	-0.0098  	0.00955  	-0.0065  	-0.0026  	0.00424  	0.00022  	0.00141  	0.02504  	0.01104  	0.08411  	0.01040  	0.00532  	0.01241  	0.03785  	-0.7581  	
-0.1705  	-0.0792  	-0.6468  	-0.3041  	0.01507  	-0.3661  	0.05958  	-0.0515  	0.08637  	0.09318  	-0.4693  	-0.4857  	0.26218  	0.12154  	0.05516  	0.74433  	-0.0884  	-0.0035  	0.29804  	0.59465  	0.12326  	0.37825  	-0.5448  	0.32958  	0.82000  	-0.2260  	0.16283  	0.10584  	0.26737  	0.27325  	-0.1582  	0.18987  	0.11459  	-0.0277  	0.52819  	0.04848  	0.13627  	-0.2195  	-0.1542  	0.45908  	-0.1711  	0.05339  	-0.2247  	0.18516  	0.15319  	-0.0362  	0.02891  	-0.1074  	-0.0331  	-0.0711  	-0.0336  	-0.0181  	-0.0290  	-0.0173  	-0.0210  	-0.0165  	0.01205  	-0.0080  	-0.0057  	0.00171  	0.00063  	0.00165  	0.02859  	0.01425  	0.08411  	0.01040  	0.00532  	0.01241  	0.03785  	-0.7581  	
-0.3199  	-0.1010  	-0.7642  	-0.3341  	0.02520  	-0.4871  	0.04912  	-0.1043  	0.04934  	0.11831  	-0.4296  	-0.5045  	0.24655  	0.08340  	-0.0211  	0.73470  	-0.1174  	0.02380  	0.29779  	0.62460  	0.07411  	0.38738  	-0.5998  	0.37232  	0.87736  	-0.2173  	0.17427  	0.13438  	0.28259  	0.27381  	-0.1678  	0.18618  	0.09003  	-0.0399  	0.53600  	0.07547  	0.13434  	-0.2269  	-0.1612  	0.46958  	-0.1793  	0.06448  	-0.2277  	0.18269  	0.15915  	-0.0357  	0.03224  	-0.1212  	-0.0486  	-0.0633  	-0.0325  	-0.0173  	-0.0320  	-0.0209  	-0.0203  	-0.0198  	0.01128  	-0.0049  	0.00311  	0.00105  	-0.0069  	-0.0028  	0.01595  	0.01241  	0.08411  	0.01040  	0.00532  	0.01241  	0.03785  	-0.7581  	
-0.4881  	-0.1793  	-0.8799  	-0.3001  	0.06498  	-0.5190  	0.00485  	-0.1272  	0.02561  	0.06853  	-0.4107  	-0.4523  	0.18577  	-0.0142  	-0.0165  	0.69133  	-0.0977  	0.02462  	0.29120  	0.61191  	0.04670  	0.37727  	-0.5719  	0.37826  	0.81491  	-0.2206  	0.14964  	0.18205  	0.30312  	0.26161  	-0.1584  	0.18297  	0.08516  	-0.0515  	0.51271  	0.07620  	0.09498  	-0.2492  	-0.1574  	0.46236  	-0.2096  	0.05982  	-0.2599  	0.16913  	0.16825  	-0.0281  	0.02991  	-0.1344  	-0.0441  	-0.0591  	-0.0241  	-0.0218  	-0.0336  	-0.0193  	-0.0224  	-0.0162  	0.02109  	-0.0067  	0.00478  	0.00074  	-0.0014  	-0.0082  	0.01654  	0.00899  	0.08411  	0.01040  	0.00532  	0.01241  	0.03785  	-0.7581  	
